rule_id,answer_key,target_type,target_key,priority_code,reason_fr_ascii
IR0001,tertiaire_bureaux,segment,tertiaire,P1,Detection automatique du segment principal
IR0002,sante_ehpad,segment,sante,P1,Detection automatique du segment principal
IR0003,industrie_logistique,segment,industrie,P1,Detection automatique du segment principal
IR0004,collectivite_enseignement,segment,collectivites,P1,Detection automatique du segment principal
IR0005,residentiel_logement,segment,residentiel,P1,Detection automatique du segment principal
IR0006,retail_commerce,segment,retail,P1,Detection automatique du segment principal
IR0007,hotellerie,segment,hotellerie,P1,Detection automatique du segment principal
IR0008,reduction_energie,technology,ems,P1,Reduction energie necessite mesure et suivi energetique
IR0009,reduction_energie,technology,electric_meter,P1,Reduction energie necessite mesure et suivi energetique
IR0010,reduction_energie,technology,edge_ai,P2,Optimisation locale et detection derives par intelligence embarquee
IR0011,conformite_reglementaire,output_flag,regulatory_focus,P1,Le rapport doit prioriser les obligations reglementaires
IR0012,qai_confort,technology,co2_sensor,P1,QAI et confort exigent mesure CO2
IR0013,qai_confort,technology,temperature_humidity_sensor,P1,Confort thermique
IR0014,qai_confort,technology,voc_sensor,P2,QAI avancee
IR0015,maintenance_predictive,technology,vibration_sensor,P1,Maintenance predictive sur equipements rotatifs
IR0016,maintenance_predictive,technology,edge_ai,P1,Analyse locale et detection anomalies
IR0017,supervision_globale,technology,hypervision,P1,Consolidation multi-systemes
IR0018,supervision_globale,technology,gtb_bms,P1,Pilotage technique centralise
IR0019,sous_comptage_energetique,technology,electric_meter,P1,Sous-comptage electrique
IR0020,sous_comptage_energetique,regulation,refacturation_mid,P2,MID si refacturation
IR0021,pilotage_cvc,technology,gtb_bms,P1,Pilotage CVC necessite GTB/BMS
IR0022,pilotage_cvc,technology,hvac_actuator,P1,Pilotage CVC necessite actionneurs
IR0023,reseau_ecs,technology,temperature_humidity_sensor,P1,Recommandation liee a l'installation reseau_ecs
IR0024,reseau_ecs,technology,thermal_energy_meter,P1,Recommandation liee a l'installation reseau_ecs
IR0025,reseau_ecs,technology,water_meter,P1,Recommandation liee a l'installation reseau_ecs
IR0026,salles_reunion_classes,technology,co2_sensor,P1,Recommandation liee a l'installation salles_reunion_classes
IR0027,salles_reunion_classes,technology,temperature_humidity_sensor,P1,Recommandation liee a l'installation salles_reunion_classes
IR0028,salles_reunion_classes,technology,presence_pir_sensor,P1,Recommandation liee a l'installation salles_reunion_classes
IR0029,salles_reunion_classes,technology,voc_sensor,P2,Recommandation liee a l'installation salles_reunion_classes
IR0030,chambres_froides,technology,temperature_logger,P1,Recommandation liee a l'installation chambres_froides
IR0031,process_industriel,technology,vibration_sensor,P1,Recommandation liee a l'installation process_industriel
IR0032,process_industriel,technology,pressure_sensor,P1,Recommandation liee a l'installation process_industriel
IR0033,process_industriel,technology,temperature_logger,P1,Recommandation liee a l'installation process_industriel
IR0034,process_industriel,technology,edge_ai,P2,Recommandation liee a l'installation process_industriel
IR0035,ventilation_cta,technology,differential_pressure_sensor,P1,Recommandation liee a l'installation ventilation_cta
IR0036,ventilation_cta,technology,co2_sensor,P1,Recommandation liee a l'installation ventilation_cta
IR0037,ventilation_cta,technology,hvac_actuator,P1,Recommandation liee a l'installation ventilation_cta
IR0038,eclairage,technology,luminosity_sensor,P1,Recommandation liee a l'installation eclairage
IR0039,eclairage,technology,presence_pir_sensor,P1,Recommandation liee a l'installation eclairage
IR0040,eclairage,technology,relay_actuator,P1,Recommandation liee a l'installation eclairage
IR0041,comptage_electrique,technology,electric_meter,P1,Recommandation liee a l'installation comptage_electrique
IR0042,comptage_eau,technology,water_meter,P1,Recommandation liee a l'installation comptage_eau
IR0043,comptage_eau,technology,leak_sensor,P1,Recommandation liee a l'installation comptage_eau
IR0044,comptage_gaz,technology,gas_meter,P1,Recommandation liee a l'installation comptage_gaz
